89,3,Not survived,Survived
22,0,9,0
71,0,49,0
0,0,7,0
26,0,7,1
0,0,7,0
34,0,26,1
0,0,7,0
1,5,46,0
18,0,79,1
0,0,7,0
28,0,7,0
19,0,8,0
25,0,7,0
15,0,8,1
0,0,7,1
23,0,9,0
25,1,151,0
24,1,15,1
39,1,31,0
29,0,15,1
0,0,8,0
22,0,7,0
0,1,51,1
70,0,7,0
0,1,19,0
30,1,24,0
25,0,7,0
0,0,7,0
22,0,49,1
19,0,7,0
0,0,8,0
32,1,15,0
57,0,10,0
24,0,83,1
17,0,14,0
38,1,90,1
29,0,30,0
0,0,227,0
60,1,39,0
25,0,7,0
14,1,120,1
26,0,10,0
33,1,53,1
17,0,8,0
54,0,77,0
21,0,8,0
22,0,7,0
30,0,7,0
59,0,7,0
70,0,7,0
32,0,7,0
41,0,20,0
0,0,7,0
34,1,21,0
0,0,7,1
41,0,39,0
36,0,0,0
42,0,227,1
50,0,8,0
20,0,8,0
17,0,110,1
30,0,8,0
30,0,93,1
58,0,26,1
0,0,7,0
51,0,7,0
1,0,37,1
25,0,0,1
22,1,7,0
37,1,52,1
22,0,7,0
21,1,11,0
20,1,15,1
18,0,7,0
70,0,7,0
47,0,38,0
19,1,91,1
45,0,6,0
35,0,7,0
31,1,113,1
0,0,13,1
20,0,8,0
24,0,13,0
10,3,27,0
37,1,53,0
56,0,26,0
32,0,7,1
43,0,8,0
80,0,30,1
