801,3,Not survived,Survived
18,1,6,0
0,1,82,1
62,0,10,1
30,0,7,0
32,0,30,1
24,2,27,1
4,0,22,1
48,0,7,0
3,1,18,1
51,0,7,0
24,1,26,1
45,1,27,0
0,0,7,0
29,1,26,1
48,0,13,0
18,0,11,0
35,0,8,0
22,0,49,1
31,0,7,0
21,0,8,0
0,0,7,0
0,1,18,1
20,0,9,0
25,0,7,0
33,0,86,1
24,1,15,1
40,1,134,1
35,0,135,1
32,0,7,1
30,0,13,0
22,0,8,0
14,0,7,0
29,0,7,1
17,0,110,1
51,0,7,0
61,0,6,0
20,0,7,0
39,0,13,0
28,0,10,0
36,1,120,1
24,0,9,0
2,1,26,1
21,0,8,0
20,1,7,1
0,0,24,0
16,0,7,0
60,0,26,0
26,1,7,0
26,0,7,0
24,0,7,0
35,1,83,1
38,0,153,0
46,0,26,0
66,0,10,0
36,1,120,1
0,0,7,0
28,0,9,0
45,0,13,1
0,0,0,0
0,0,7,0
40,1,134,1
54,0,51,0
40,1,27,0
47,0,25,0
19,1,7,1
0,0,26,1
20,0,7,0
0,0,0,0
0,0,7,0
0,0,30,1
40,0,13,1
0,2,19,1
13,0,7,1
26,1,26,0
16,2,18,0
28,1,14,0
0,0,7,1
36,0,10,0
0,0,0,0
0,0,8,0
35,0,7,0
22,0,10,0
30,1,24,0
37,1,53,0
29,1,26,1
0,0,29,1
3,1,18,1
0,0,7,0
0,0,0,0
0,1,15,0
0,0,30,1
22,1,41,1
11,4,31,0
29,1,21,0
57,0,12,0
24,0,83,1
0,0,15,0
19,1,26,1
30,0,86,1
0,0,8,0
40,1,27,0
43,1,26,0
40,0,27,0
24,0,8,0
29,0,7,1
43,0,6,0
21,0,7,0
56,0,35,1
52,0,13,0
0,1,19,0
23,0,10,0
34,0,13,0
25,0,13,0
63,0,9,1
19,0,30,1
0,0,7,0
0,1,24,1
20,0,7,0
23,0,7,1
4,3,27,0
25,0,7,0
0,0,0,0
28,1,24,1
24,0,13,0
41,2,14,0
16,5,46,0
35,0,26,0
25,1,7,1
24,0,69,1
16,5,46,0
18,0,7,0
28,0,13,0
0,0,8,0
30,0,13,0
0,0,27,0
0,0,13,1
35,0,26,0
48,1,76,1
0,0,35,0
47,0,9,0
49,0,25,1
19,0,7,1
34,1,21,0
30,0,93,1
24,0,13,0
35,0,26,1
38,0,0,0
14,0,7,0
0,1,52,1
26,1,7,0
39,1,79,1
58,0,153,1
0,0,7,0
47,0,25,0
0,0,30,1
27,0,26,0
70,0,7,0
47,0,34,0
22,0,10,0
0,0,7,0
7,0,26,1
0,0,7,0
5,4,31,1
30,3,21,1
43,0,8,0
28,0,35,1
42,0,7,0
32,0,7,0
52,1,93,1
0,0,7,1
66,0,10,0
34,0,26,1
4,1,23,1
5,0,12,1
0,0,22,1
29,0,21,0
36,0,0,0
35,0,26,0
24,0,13,0
36,1,120,1
9,2,34,0
36,1,120,1
34,0,8,0
40,1,15,0
30,0,106,1
24,1,26,1
19,0,7,0
4,1,11,1
28,0,12,1
19,0,8,0
17,0,12,1
42,0,8,0
31,1,26,1
